U_WN	Y_BC	Y_SD	Y_FB	U_CN	Y_CN	U_SF	Y_SF	Y_FT	Y_SO	Z_SP
Y_BC	Y_SD	Y_FB	Y_CN	Y_SF	Y_FT	Y_SO
U_WN
U_WN
U_WN
Y_CN
U_CN
Y_SF
U_SF
U_WN
U_WN

-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
10	10	10	10	10	10	10	10	10	10	10
0,092758712	-0,102022534	-0,231385057	0,053539045	-0,20681802	-0,010190669	-0,007956382	9,925081547	9,925081547	-2,016176306	0,039216112
0,083753281	-0,199255677	-0,393148922	0,154566075	-0,323877733	-0,012415623	-0,008569832	9,824509702	9,824509702	2,691741411	-0,035123725
0,502617388	-0,070923994	-0,113551079	0,012893848	-0,027653071	-0,010094521	-0,009049505	9,768614943	9,768614943	1,566467531	-0,087799379
1,918913431	0,004956956	0,038716758	0,001498987	0,101212384	-0,008622888	-0,009101066	9,606851078	9,606851078	0,146800666	-0,092288967
0,602286075	0,013312398	0,048512901	0,002353502	0,083135113	-0,008420327	-0,00899541	9,886448921	9,886448921	0,118993661	-0,078744268
-0,53586747	0,020015734	0,054900898	0,003014109	0,069533081	-0,008236164	-0,008873912	10,03871676	10,03871676	0,950333879	-0,06270777
1,219938519	0,065941354	0,13605812	0,018511812	0,129460594	-0,007215478	-0,008662686	10,0485129	10,0485129	3,701768743	-0,037872668
-1,402787168	0,24227496	0,459234923	0,210896715	0,403092476	-0,00336707	-0,008039817	10,0549009	10,0549009	0,745337227	0,025464114
-0,011189531	0,276534547	0,485165695	0,235385751	0,369481937	-0,002156974	-0,007079425	10,13605812	10,13605812	-1,556900636	0,115212989
0,156763019	0,199224274	0,300083803	0,090050289	0,15933969	-0,003223328	-0,006287037	10,45923492	10,45923492	2,139793235	0,179268858
0,926143529	0,296358077	0,466825156	0,217925726	0,307902574	-0,000779449	-0,005502728	10,48516569	10,48516569	-3,272399492	0,234765539
-0,364865783	0,134663029	0,127921976	0,016364032	-0,024840676	-0,003580663	-0,004908972	10,3000838	10,3000838	-0,150301038	0,263238802
0,067416176	0,120783322	0,10270534	0,010548387	-0,018495713	-0,003595865	-0,004669615	10,46682516	10,46682516	0,210820698	0,252150706
0,243516215	0,124207243	0,112504334	0,012657225	0,013442625	-0,003275468	-0,004444961	10,12792198	10,12792198	1,739782724	0,237669918
0,268075459	0,200521571	0,259992082	0,067595882	0,161675688	-0,001418488	-0,004058998	10,10270534	10,10270534	-0,989723648	0,237912978
-2,367842441	0,14671785	0,14672458	0,021528102	0,048230485	-0,002144656	-0,003648385	10,11250433	10,11250433	-0,011892227	0,238534891
0,973053248	0,139171298	0,132348407	0,017516101	0,043442763	-0,002005673	-0,003362785	10,25999208	10,25999208	0,354684024	0,225889838
1,514868759	0,14910103	0,152499709	0,023256161	0,069261649	-0,00151512	-0,003070825	10,14672458	10,14672458	0,383651209	0,214027016
0,944500311	0,160422944	0,173450036	0,030084915	0,090616931	-0,000976478	-0,002738362	10,13234841	10,13234841	-4,909134918	0,206533602
-0,794705424	-0,080173317	-0,287208086	0,082488485	-0,329570904	-0,005705479	-0,002862018	10,15249971	10,15249971	2,233314582	0,155043359
0,657034771	0,020054442	-0,058761489	0,003452913	-0,06052109	-0,003749918	-0,003194245	10,17345004	10,17345004	3,088499007	0,089197471
-0,055727134	0,162304831	0,22648925	0,05129738	0,209141248	-0,000715716	-0,003010715	9,712791914	9,712791914	1,662511373	0,080025318
-0,110883233	0,236740572	0,356642559	0,127193915	0,2958826	0,001172827	-0,002417776	9,941238511	9,941238511	-1,946053407	0,1126064
-0,081626527	0,138585509	0,147938601	0,02188583	0,067337817	-0,000417339	-0,001915883	10,22648925	10,22648925	1,166130941	0,134508338
0,899636461	0,187922479	0,24022207	0,057706643	0,153443107	0,000896252	-0,001521181	10,35664256	10,35664256	-0,351676339	0,145168653
0,653003191	0,164736153	0,186575587	0,03481045	0,093670194	0,000783118	-0,001093574	10,1479386	10,1479386	-0,408342052	0,158053789
0,713216246	0,1385075	0,132655456	0,01759747	0,044511235	0,000560009	-0,000774289	10,24022207	10,24022207	-0,295908511	0,159354867
-1,101731729	0,117558978	0,093812727	0,008800828	0,016381582	0,0003958	-0,000547806	10,18657559	10,18657559	1,705460196	0,151473862
-0,164862758	0,19198349	0,239883772	0,057544224	0,159276329	0,002192484	-0,000208438	10,13265546	10,13265546	1,06612261	0,155268555
2,068662556	0,235855315	0,31476961	0,099079907	0,214406905	0,003492804	0,000348594	10,09381273	10,09381273	1,111662883	0,179531646
2,530378797	0,281282214	0,386995723	0,14976569	0,26128759	0,004910833	0,001051389	10,23988377	10,23988377	-2,590459182	0,215428593
-0,034076989	0,149671037	0,117135249	0,013720667	-0,006461948	0,002699759	0,001543845	10,31476961	10,31476961	-0,446860766	0,226840738
-0,158472984	0,119739189	0,066017689	0,004358335	-0,031507437	0,002364969	0,001722013	10,38699572	10,38699572	4,071307423	0,206317212
0,568177434	0,305203768	0,429035575	0,184071525	0,319876679	0,006493435	0,002225332	10,11713525	10,11713525	4,631722019	0,218543465
-1,314290104	0,516957168	0,809944436	0,656009989	0,631525965	0,011536161	0,003471431	10,06601769	10,06601769	-0,878098414	0,300518331
0,086732809	0,464519335	0,656949325	0,431582415	0,417708202	0,011445026	0,00492478	10,42903558	10,42903558	-0,973895294	0,393344075
-2,134871885	0,405233778	0,509138353	0,259221863	0,253876218	0,011105529	0,006074895	10,80994444	10,80994444	0,627216515	0,446374276
-0,894602755	0,420739917	0,519840322	0,27023396	0,263836629	0,01221856	0,007091067	10,65694932	10,65694932	-3,14842053	0,478644987
0,580604125	0,255629981	0,187368918	0,035107111	-0,039791236	0,009568194	0,007772227	10,50913835	10,50913835	-0,013903299	0,471891931
-0,707368173	0,23955729	0,169126688	0,028603837	-0,012375949	0,009722369	0,008112224	10,51984032	10,51984032	-4,438870458	0,430173798
-0,349131711	0,01360048	-0,248517351	0,061760874	-0,360206552	0,005437467	0,008002667	10,18736892	10,18736892	-1,540688158	0,346274395
-0,56982357	-0,072826485	-0,365632753	0,13368731	-0,388919844	0,003639185	0,007369205	10,16912669	10,16912669	1,526841003	0,219159677
