U	Z	BC	SD	FB	CN	SF	FT	SO
0,594111835	0,023272659	0,003606168	1,30E-05	-0,013527385	-0,032317193	10,00360617	1,792905275	0,004289301
0,058192288	0,106538306	0,1657786	0,027482544	0,139000106	-0,032077957	10,1657786	-0,898095198	0,017252928
-0,529356222	0,061555277	0,06935481	0,00481009	0,032817498	-0,031782207	10,06935481	1,022923928	0,034675891
0,037226921	0,10766955	0,155781178	0,024267775	0,11202348	-0,031490891	10,15578118	-2,56351586	0,050507476
-0,607051083	-0,017139687	-0,090681257	0,00822309	-0,123352847	-0,031371221	9,909318743	1,278904928	0,047861346
-1,856128302	0,041028586	0,033450657	0,001118946	0,015246887	-0,031361542	10,03345066	0,082933918	0,035054763
1,690763258	0,042661928	0,037935553	0,001439106	0,019812689	-0,031227416	10,03793555	-1,096647997	0,03506299
0,437286107	-0,011772795	-0,064896988	0,004211619	-0,073977813	-0,031195415	9,935103012	0,13935083	0,025181623
1,483734087	-0,007109856	-0,046385066	0,002151574	-0,04345246	-0,031243635	9,953614934	-1,167717101	0,008741351
0,062563449	-0,064201812	-0,148016561	0,021908902	-0,129192965	-0,031378833	9,851983439	-3,564240043	-0,014417605
1,871853992	-0,234726163	-0,457644656	0,209438631	-0,392563625	-0,031931602	9,542355344	3,839171172	-0,075257773
0,917568189	-0,051491619	-0,068204415	0,004651842	0,015560318	-0,032380036	9,931795585	0,942776629	-0,118620204
-0,310703709	-0,004978268	0,023425461	0,000548752	0,082512331	-0,032356995	10,02342546	2,944042712	-0,111286836
0,395159929	0,136691443	0,288134477	0,083021477	0,299887408	-0,0319722	10,28813448	-0,163007579	-0,067626785
-1,58917897	0,129637231	0,247245391	0,061130283	0,211333887	-0,031374849	10,24724539	3,496462593	-0,006546795
0,586339429	0,295431076	0,541736936	0,293478907	0,450216661	-0,030514069	10,54173694	1,293399443	0,074943908
-0,716240108	0,35463525	0,609863576	0,371933582	0,45304116	-0,029300363	10,60986358	-1,231270994	0,181650017
-1,185848538	0,291319877	0,442993056	0,196242848	0,252467059	-0,028195625	10,44299306	0,347326802	0,265534826
0,755399808	0,301201564	0,434322382	0,188635932	0,234371964	-0,027263143	10,43432238	-3,612680323	0,321741468
-0,173319675	0,121308072	0,067523857	0,004559471	-0,10485451	-0,026719655	10,06752386	1,105155001	0,330664692
