Presure	MagVol	GenVol	Speed
-1,528292888	2,058445894	0,870368781	0,228904342
-1,513640873	2,058445894	0,921650832	0,011566125
1,446066087	2,058445894	0,79955071	-0,056809944
-1,513640873	-1,97574214	0,714080624	-0,227750114
-1,542944902	-2,005046169	-0,79019288	-0,249728136
-1,538060897	2,058445894	-1,039277129	-0,22286611
1,436298077	2,063329899	0,330686241	-0,315662202
1,446066087	2,063329899	0,46988038	-0,393806281
1,441182082	2,058445894	0,482090392	-0,374270261
-1,513640873	-1,96597413	0,631052541	-0,244844132
-1,557596917	-2,000162164	-0,748678839	-0,122744009
1,436298077	2,058445894	-0,909851	-0,09343998
1,436298077	-2,005046169	0,657914568	-0,039715926
-1,538060897	2,058445894	-0,67053476	0,023776137
1,441182082	2,063329899	0,733616644	-0,0128539
1,446066087	-2,000162164	0,933860844	0,053080166
1,431414072	2,068213904	-0,565528655	0,109246223
1,446066087	2,063329899	0,870368781	0,165412279
-1,518524878	-1,995278159	1,065728976	0,187390301
1,441182082	2,053561889	-0,477616567	0,192274306
1,441182082	2,082865919	0,960722871	0,192274306
-1,518524878	2,048677885	1,158525069	0,287512401
-1,528292888	2,058445894	1,1902711	0,285070398
1,460718101	-1,97574214	1,195155105	0,282628396
1,436298077	-2,000162164	-0,448312538	0,199600313
-1,538060897	-1,995278159	-0,685186775	0,248440362
-1,518524878	-1,97574214	-0,704722795	0,258208371
-1,533176893	-2,000162164	-0,716932807	0,280186393
-1,533176893	-1,995278159	-0,726700817	0,231346345
1,426530067	-2,019698184	-0,804844895	0,128782242
-1,518524878	2,063329899	-0,909851	-0,037273924
-1,528292888	2,068213904	0,591980502	-0,073903961
1,441182082	2,058445894	0,748268658	-0,132512019
-1,508756868	2,087749924	0,67989259	-0,161816049
1,436298077	2,053561889	0,653030563	-0,20333009
-1,528292888	-2,000162164	0,657914568	-0,269264156
1,426530067	-2,005046169	-0,8097289	-0,230192117
1,431414072	2,058445894	-1,039277129	-0,239960127
1,436298077	-2,000162164	0,408830319	-0,244844132
1,421646062	-2,005046169	-0,782866873	-0,134954022
1,421646062	2,058445894	-0,904966995	-0,081229968
-1,513640873	-2,000162164	0,694544605	-0,0128539
1,431414072	2,058445894	-0,607042697	0,089710203
1,431414072	2,058445894	0,850832761	0,155644269
-1,523408883	-1,995278159	1,060844971	0,184948298
1,436298077	2,068213904	-0,497152587	0,199600313
-1,528292888	-2,000162164	0,963164873	0,187390301
1,441182082	2,058445894	-0,47029056	0,258208371
1,450950092	-2,000162164	0,975374886	0,255766369
-1,533176893	-2,000162164	-0,47029056	0,299722413
1,426530067	2,058445894	-0,665650755	0,250882364
1,431414072	2,058445894	0,977816888	0,248440362
-1,523408883	-2,005046169	1,180503091	0,294838408
-1,533176893	-2,019698184	-0,423892514	0,30704842
-1,542944902	-2,000162164	-0,655882746	0,255766369
1,455834096	-1,97574214	-0,697396787	0,238672352
1,455834096	-2,000162164	-0,787750878	0,148318262
